Name,Home Runs,Year,Team,League
Juan Gonzalez,45,1998,Texas Rangers,AL
"Ken Griffey, Jr.",45,1993,Seattle Mariners,AL
Ryan Howard,45,2009,Philadelphia Phillies,NL
Chipper Jones,45,1999,Atlanta Braves,NL
Harmon Killebrew,45,1963,Minnesota Twins,AL
Willie McCovey,45,1969,San Francisco Giants,NL
Manny Ramirez,45,1998,Cleveland Indians,AL
Manny Ramirez,45,2005,Boston Red Sox,AL
Mike Schmidt,45,1979,Philadelphia Phillies,NL
Richie Sexson,45,2001,Milwaukee Brewers,NL
Richie Sexson,45,2003,Milwaukee Brewers,NL
Gorman Thomas,45,1979,Milwaukee Brewers,AL
Greg Vaughn,45,1999,Cincinnati Reds,NL
Hank Aaron,44,1966,Atlanta Braves,NL
Hank Aaron,44,1963,Milwaukee Braves,NL
Hank Aaron,44,1969,Atlanta Braves,NL
Hank Aaron,44,1957,Milwaukee Braves,NL
Ernie Banks,44,1955,Chicago Cubs,NL
Jay Buhner,44,1996,Seattle Mariners,AL
Miguel Cabrera,44,2012,Detroit Tigers,AL
Miguel Cabrera,44,2013,Detroit Tigers,AL
Jose Canseco,44,1991,Oakland Athletics,AL
Carlos Delgado,44,1999,Toronto Blue Jays,AL
Jermaine Dye,44,2006,Chicago White Sox,AL
Cecil Fielder,44,1991,Detroit Tigers,AL
Jimmie Foxx,44,1934,Philadelphia Athletics,AL
Andres Galarraga,44,1998,Atlanta Braves,NL
Hank Greenberg,44,1946,Detroit Tigers,AL
Vladimir Guerrero,44,2000,Montreal Expos,NL
Richard Hidalgo,44,2000,Houston Astros,NL
Frank Howard,44,1968,Washington Senators,AL
Frank Howard,44,1970,Washington Senators,AL
Harmon Killebrew,44,1967,Minnesota Twins,AL
Tino Martinez,44,1997,New York Yankees,AL
Willie McCovey,44,1963,San Francisco Giants,NL
Dale Murphy,44,1987,Atlanta Braves,NL
Manny Ramirez,44,1999,Cleveland Indians,AL
Mark Reynolds,44,2009,Arizona Diamondbacks,NL
Willie Stargell,44,1973,Pittsburgh Pirates,NL
Mo Vaughn,44,1996,Boston Red Sox,AL
Carl Yastrzemski,44,1967,Boston Red Sox,AL
Tony Armas,43,1984,Boston Red Sox,AL
Jeff Bagwell,43,1997,Houston Astros,NL
Ernie Banks,43,1957,Chicago Cubs,NL
Jose Bautista,43,2011,Toronto Blue Jays,AL
Jason Giambi,43,2000,Oakland Athletics,AL
